id_1,id_2,page_1_name,page_2_name
127,3336,Восточные славяне,Славяне
127,3542,Восточные славяне,Восточнославянские языки
127,2509,Восточные славяне,Племенные союзы восточных славян
127,3997,Восточные славяне,Древнерусская народность
127,2687,Восточные славяне,Средние века
127,755,Восточные славяне,Киевская Русь
127,2607,Восточные славяне,XVII век
127,1363,Восточные славяне,Русские
127,4704,Восточные славяне,Украинцы
127,3621,Восточные славяне,Белорусы
127,3265,Восточные славяне,Русины
127,2637,Восточные славяне,Глаголица
127,2864,Восточные славяне,863 год
127,1472,Восточные славяне,XI век
127,4034,Восточные славяне,IX век
127,1196,Восточные славяне,Повесть временных лет
127,1472,Восточные славяне,XI век
127,1445,Восточные славяне,XII век
127,2461,Восточные славяне,Древнерусское государство
127,1192,Восточные славяне,Рюриковичи
127,2633,Восточные славяне,Поляне
127,2892,Восточные славяне,Ильменские словене
127,1920,Восточные славяне,852 год
127,3355,Восточные славяне,Прародина
127,2682,Восточные славяне,Пшеворская культура
127,1698,Восточные славяне,Кривичи
127,1811,Восточные славяне,Тушемлинская культура
127,821,Восточные славяне,Зарубинецкая культура
127,3261,Восточные славяне,Сарматы
127,3487,Восточные славяне,Балты
127,173,Восточные славяне,Древнеевропейская гидронимия
127,324,Восточные славяне,Великое переселение народов
127,1537,Восточные славяне,I век
127,4034,Восточные славяне,IX век
127,1848,Восточные славяне,Дикое поле
127,3261,Восточные славяне,Сарматы
127,1730,Восточные славяне,Готы
127,1855,Восточные славяне,Гунны
127,894,Восточные славяне,Аланы
127,3854,Восточные славяне,Авары
127,354,Восточные славяне,Булгары
127,2158,Восточные славяне,Мадьяры
127,4551,Восточные славяне,Древнерусские города
127,1811,Восточные славяне,Тушемлинская культура
127,2765,Восточные славяне,Меря
127,2543,Восточные славяне,Весь (племя)
127,336,Восточные славяне,Ростов
127,3312,Восточные славяне,Белоозеро
127,3576,Восточные славяне,Старая Ладога
127,3576,Восточные славяне,Старая Ладога
127,2189,Восточные славяне,Новгород
127,3312,Восточные славяне,Белоозеро
127,1071,Восточные славяне,Рюрик
127,4561,Восточные славяне,Призвание варягов
127,324,Восточные славяне,Великое переселение народов
127,2878,Восточные славяне,Германцы
127,3261,Восточные славяне,Сарматы
127,1855,Восточные славяне,Гунны
127,3854,Восточные славяне,Авары
127,354,Восточные славяне,Булгары
127,1801,Восточные славяне,Пчеловодство
127,2285,Восточные славяне,VIII век
127,3781,Восточные славяне,Южные славяне
127,3868,Восточные славяне,Западные славяне
127,1759,Восточные славяне,Днепр
127,3113,Восточные славяне,Украина
127,3287,Восточные славяне,Волга
127,4142,Восточные славяне,Москва
127,1439,Восточные славяне,Днестр
127,426,Восточные славяне,Южный Буг
127,2754,Восточные славяне,Молдавия
127,3209,Восточные славяне,Померания
127,670,Восточные славяне,Великий Новгород
127,4296,Восточные славяне,Тверская область
127,3312,Восточные славяне,Белоозеро
127,3435,Восточные славяне,Ареал
127,2765,Восточные славяне,Меря
127,336,Восточные славяне,Ростов
127,110,Восточные славяне,Хазары
127,3721,Восточные славяне,Варяги
127,2461,Восточные славяне,Древнерусское государство
127,1192,Восточные славяне,Рюриковичи
127,1111,Восточные славяне,Славянская колонизация Северо-Восточной Руси
127,4159,Восточные славяне,Домонгольская Русь
127,3060,Восточные славяне,Новгородская республика
127,4457,Восточные славяне,Владимиро-Суздальское княжество
127,1521,Восточные славяне,Заволочье
127,3466,Восточные славяне,Нижний Новгород
127,4336,Восточные славяне,Киров (Кировская область)
127,3456,Восточные славяне,Чердынь
127,37,Восточные славяне,Соликамск
127,4410,Восточные славяне,Волга (река)
127,2174,Восточные славяне,Вятка (река)
127,4095,Восточные славяне,Кама (река)
127,1419,Восточные славяне,Монгольское нашествие на Русь
127,1363,Восточные славяне,Русские
127,4704,Восточные славяне,Украинцы
127,3621,Восточные славяне,Белорусы
127,1346,Восточные славяне,Поволжье
127,765,Восточные славяне,Дон (река)
1248,2561,Восточно-Европейская равнина,Равнина
1248,3532,Восточно-Европейская равнина,Восточная Европа
1248,1792,Восточно-Европейская равнина,Европейская равнина
1248,3943,Восточно-Европейская равнина,Балтийское море
1248,3490,Восточно-Европейская равнина,Урал
1248,2993,Восточно-Европейская равнина,Баренцево море
1248,134,Восточно-Европейская равнина,Белое море
1248,168,Восточно-Европейская равнина,Чёрное море
1248,3451,Восточно-Европейская равнина,Азовское море
1248,466,Восточно-Европейская равнина,Каспийское море
1248,1481,Восточно-Европейская равнина,Судеты
1248,2802,Восточно-Европейская равнина,Кавказ
1248,345,Восточно-Европейская равнина,Висла
1248,4538,Восточно-Европейская равнина,Белоруссия
1248,4308,Восточно-Европейская равнина,Латвия
1248,1785,Восточно-Европейская равнина,Литва
1248,4584,Восточно-Европейская равнина,Эстония
1248,2754,Восточно-Европейская равнина,Молдавия
1248,729,Восточно-Европейская равнина,Россия
1248,1321,Восточно-Европейская равнина,Казахстан
1248,3113,Восточно-Европейская равнина,Украина
1248,2547,Восточно-Европейская равнина,Финляндия
1248,2577,Восточно-Европейская равнина,Польша
1248,1495,Восточно-Европейская равнина,Румыния
1248,3028,Восточно-Европейская равнина,Болгария
1248,3800,Восточно-Европейская равнина,Возвышенность
1248,1796,Восточно-Европейская равнина,Низменность
1248,227,Восточно-Европейская равнина,Бугульминско-Белебеевская возвышенность
1248,1999,Восточно-Европейская равнина,Предуралье
1248,2179,Восточно-Европейская равнина,Орография
1248,4684,Восточно-Европейская равнина,Среднерусская возвышенность
1248,4537,Восточно-Европейская равнина,Приволжская возвышенность
1248,227,Восточно-Европейская равнина,Бугульминско-Белебеевская возвышенность
1248,4035,Восточно-Европейская равнина,Общий Сырт
1248,924,Восточно-Европейская равнина,Окско-Донская низменность
1248,3042,Восточно-Европейская равнина,Низкое Заволжье
1248,4493,Восточно-Европейская равнина,Смоленско-Московская возвышенность
1248,4692,Восточно-Европейская равнина,Валдайская возвышенность
1248,1839,Восточно-Европейская равнина,Северные Увалы
1248,1872,Восточно-Европейская равнина,Северный Ледовитый океан
1248,255,Восточно-Европейская равнина,Атлантический океан
1248,1839,Восточно-Европейская равнина,Северные Увалы
1248,134,Восточно-Европейская равнина,Белое море
1248,2993,Восточно-Европейская равнина,Баренцево море
1248,4104,Восточно-Европейская равнина,Прикаспийская низменность
1248,2216,Восточно-Европейская равнина,Причерноморская низменность
1248,3682,Восточно-Европейская равнина,Ергени
1248,2778,Восточно-Европейская равнина,Ставропольская возвышенность
1248,1256,Восточно-Европейская равнина,Докембрий
1248,2293,Восточно-Европейская равнина,Палеозой
1248,1256,Восточно-Европейская равнина,Докембрий
1248,1208,Восточно-Европейская равнина,Венд
1248,3789,Восточно-Европейская равнина,Рифей (геохронологический период)
1248,264,Восточно-Европейская равнина,Фанерозой
1248,4286,Восточно-Европейская равнина,Синеклиза
1248,530,Восточно-Европейская равнина,Московская синеклиза
1248,1400,Восточно-Европейская равнина,Антеклиза
1248,984,Восточно-Европейская равнина,Воронежская антеклиза
1248,3982,Восточно-Европейская равнина,Волго-Уральская антеклиза
1248,274,Восточно-Европейская равнина,Авлакоген
1248,141,Восточно-Европейская равнина,Оледенение
1248,2973,Восточно-Европейская равнина,Чудское озеро
1248,4087,Восточно-Европейская равнина,Псковское озеро
1248,812,Восточно-Европейская равнина,Белое озеро (Вологодская область)
1248,3152,Восточно-Европейская равнина,Эрозия (геология)
1248,1146,Восточно-Европейская равнина,Полезные ископаемые
1248,4160,Восточно-Европейская равнина,Балтийский щит
1248,1223,Восточно-Европейская равнина,Железная руда
1248,1987,Восточно-Европейская равнина,Курская магнитная аномалия
1248,4501,Восточно-Европейская равнина,Нефть
1248,4657,Восточно-Европейская равнина,Природный газ
1248,4119,Восточно-Европейская равнина,Печора
1248,762,Восточно-Европейская равнина,Каменный уголь
1248,4329,Восточно-Европейская равнина,Фосфорит
1248,1863,Восточно-Европейская равнина,Мел
1248,294,Восточно-Европейская равнина,Известняк
